Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_Stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,barcodes,BIOMATERIAL_PROVIDER,cell_type
SRR6768115,ATAC-seq,100,34159751500,PRJNA390526,SAMN07237047,29879469968,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",embryonic day 11.5,SRX3739246,GSM2668117,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2021-09-12T02:51:00Z,2,GSM2668117,mouse forebrain,SRP133390,C57BL/6NCrl,Set_1 for Replicate 1; Set_2 for Replicate 2; p5 only 7 bp called,,
SRR6768116,ATAC-seq,100,24566710600,PRJNA390526,SAMN07237046,20205478879,GEO,public,"run.zq,source,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",embryonic day 12.5,SRX3739247,GSM2668118,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2018-02-23T18:09:00Z,1,GSM2668118,mouse forebrain,SRP133390,C57BL/6NCrl,Set_1 for Replicate 1; Set_2 for Replicate 2,,
SRR6768117,ATAC-seq,100,24289574500,PRJNA390526,SAMN07237045,19950500448,GEO,public,"run.zq,source,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",embryonic day 13.5,SRX3739248,GSM2668119,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2018-02-23T19:03:00Z,1,GSM2668119,mouse forebrain,SRP133390,C57BL/6NCrl,Set_1 for Replicate 1; Set_2 for Replicate 2,,
SRR6768118,ATAC-seq,100,21805185700,PRJNA390526,SAMN07237049,19388606419,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",embryonic day 14.5,SRX3739249,GSM2668120,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2021-09-12T03:47:00Z,2,GSM2668120,mouse forebrain,SRP133390,C57BL/6NCrl x C57BL/6NTac,Set_1 for Replicate 1; Set_2 for Replicate 2,,
SRR6768119,ATAC-seq,100,23819544900,PRJNA390526,SAMN07237048,18427313355,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",embryonic day 15.5,SRX3739250,GSM2668121,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2021-09-12T11:54:00Z,2,GSM2668121,mouse forebrain,SRP133390,C57BL/6NCrl,Set_1 for Replicate 1; Set_2 for Replicate 2,,
SRR6768120,ATAC-seq,100,27224329200,PRJNA390526,SAMN07237043,23678797040,GEO,public,"fastq,run.zq,source,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",embryonic day 16.5,SRX3739251,GSM2668122,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2018-02-23T18:53:00Z,1,GSM2668122,mouse forebrain,SRP133390,C57BL/6NCrl,Set_1 for Replicate 1; Set_2 for Replicate 2,,
SRR6768121,ATAC-seq,100,18054872700,PRJNA390526,SAMN07237050,14422041593,GEO,public,"fastq,run.zq,source,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postnatal day 0,SRX3739252,GSM2668123,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2018-02-23T17:28:00Z,1,GSM2668123,mouse forebrain,SRP133390,C57BL/6NCrl x C57BL/6NTac,Set_1 for Replicate 1; Set_2 for Replicate 2,,
SRR6768122,ATAC-seq,100,34022290000,PRJNA390526,SAMN07237044,28782967717,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postnatal day 56,SRX3739253,GSM2668124,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-02-26T00:00:00Z,2018-02-23T19:23:00Z,1,GSM2668124,mouse forebrain,SRP133390,C57BL/6NCrl,Set_1 for Replicate 1; Set_2 for Replicate 2,,
